abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,classfication,japanese_name,name,pokedex_number,base_total,hp,attack,defense,special_attack,special_defense,speed,type1,type2
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Seed Pokémon,Fushigidaneフシギダネ,Bulbasaur,1,318,45,49,49,65,65,45,grass,poison
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Seed Pokémon,Fushigisouフシギソウ,Ivysaur,2,405,60,62,63,80,80,60,grass,poison
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,Seed Pokémon,Fushigibanaフシギバナ,Venusaur,3,625,80,100,123,122,120,80,grass,poison
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Lizard Pokémon,Hitokageヒトカゲ,Charmander,4,309,39,52,43,60,50,65,fire,
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Flame Pokémon,Lizardoリザード,Charmeleon,5,405,58,64,58,80,65,80,fire,
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,Flame Pokémon,Lizardonリザードン,Charizard,6,634,78,104,78,159,115,100,fire,flying
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Tiny Turtle Pokémon,Zenigameゼニガメ,Squirtle,7,314,44,48,65,50,64,43,water,
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Turtle Pokémon,Kameilカメール,Wartortle,8,405,59,63,80,65,80,58,water,
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Shellfish Pokémon,Kamexカメックス,Blastoise,9,630,79,103,120,135,115,78,water,
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Worm Pokémon,Caterpieキャタピー,Caterpie,10,195,45,30,35,20,20,45,bug,
